Magoosh 1000
specious
spendthrift
splenetic
sporadic
spurious
spurn
squander
squelch
staid
stalwart
start
staunch
steadfast
stem
stipend
stolid
stringent
stultify
stymie
subsume
subterfuge
subversive
sullen
summit
supercilious
superfluous
supplant
surfeit
surly
surreptitious
sybarite
sycophant
taciturn
tact
tantamount
tarnish
tawdry
taxing
telling
telltale
temerity
temperance
tempered
tempestuous
tenacious
tendentious
tender
thoroughgoing
thrifty
thwart
timorous
tirade
torpor
tortuous
tout
tractable
transient
transitory
transmute
travail
travesty
treacherous
trenchant
tribulation
trite
truculence
truculent
truncate
tumult
turgid
turpitude
tyro
umbrage
unassailable
uncanny
uncompromising
unconscionable
undermine
underscore
underwrite
unequivocal
unflappable
unforthcoming
unimpeachable
unnerve
unprecedented
unprepossessing
unpropitious
unruly
unscrupulous
unseemly
unstinting
untenable
untoward
untrammeled
unviable
upbraid
urbane
vacillate
vacuous
vanquish
variance
vaunted
vehement
venality
veneer
venerate
venial
veracious
verisimilitude
veritable
vicarious
vicissitude
vie
vilify
vindicate
vindictive
virago
vitriol
vitriolic
vituperate
vociferous
volubility
voracious
wanting
wanton
wax
whimsical
winsome
zeitgeist
zenith
